#{"t_start": 1738319537.8338854, "env_id": null}
r,l,t
494075.4,8000,1235.787645
-15307.6,8000,1243.003202
4339224.0,8000,1247.994572
4449114.8,8000,1252.981832
4387862.4,8000,1257.979067
-11708.6,8000,1263.003363
-12889.4,8000,1270.216012
-12131.0,8000,1275.2618
3830408.8,8000,1280.274728
-11761.2,8000,1285.329751
-13393.2,8000,1290.362184
2620290.0,8000,1297.528086
-12514.6,8000,1302.570732
-10090.0,8000,1307.599725
2143180.6,8000,1312.583909
-16905.4,8000,1317.629465
3134838.0,8000,1324.942308
3428779.4,8000,1329.99899
4057936.6,8000,1335.044853
3144730.2,8000,1340.084719
3518034.8,8000,1345.133211
-9600.2,8000,1352.419976
2512603.4,8000,1357.454759
2605014.6,8000,1362.489252
3359518.6,8000,1367.529461
-8886.8,8000,1372.611645
2024148.6,8000,1379.840692
1936231.8,8000,1384.874485
1993594.8,8000,1389.895887
1579705.0,8000,1394.906524
2535529.8,8000,1399.926169
-10189.4,8000,1407.19975
3708230.4,8000,1412.188299
4680768.4,8000,1417.178553
4430365.8,8000,1422.164977
-15942.4,8000,1427.194769
4042263.2,8000,1434.408934
-8223.8,8000,1439.466214
4400034.6,8000,1444.469885
4537410.6,8000,1449.470697
4115970.0,8000,1454.478882
-16277.4,8000,1461.696096
4009436.8,8000,1466.694932
4461139.6,8000,1471.715535
-16217.2,8000,1476.765855
4494612.6,8000,1481.767662
-17253.4,8000,1488.99318
3547720.4,8000,1493.983292
-16913.4,8000,1499.02682
4576633.8,8000,1504.020774
-16983.8,8000,1509.066148
4022164.4,8000,1516.245531
-927.8,8000,1521.277857
3880947.4,8000,1526.273998
4262615.6,8000,1531.276751
3740592.6,8000,1536.277243
-17209.2,8000,1543.519664
-17340.2,8000,1548.57998
-16993.0,8000,1553.641177
-17442.6,8000,1558.701255
-17116.4,8000,1563.777542
4560159.8,8000,1570.984759
4710170.4,8000,1576.000519
4644977.0,8000,1581.020464
4956800.2,8000,1586.043306
5164295.4,8000,1591.059307
1208599.6,8000,1598.208183
1089349.0,8000,1603.184866
2372701.2,8000,1608.173075
1816854.0,8000,1613.158926
1110085.6,8000,1618.143376
613737.2,8000,1625.317462
752215.8,8000,1630.308855
553401.6,8000,1635.290137
611871.4,8000,1640.273194
428855.0,8000,1645.257705
1381960.6,8000,1652.422154
1212448.0,8000,1657.430521
522969.0,8000,1662.425928
1800213.8,8000,1667.4147
1424612.0,8000,1672.39973
720063.4,8000,1679.554321
759308.2,8000,1684.540816
740803.6,8000,1689.517803
490457.4,8000,1694.492384
580456.4,8000,1699.470665
746151.6,8000,1706.633641
720316.8,8000,1711.627447
531875.4,8000,1716.620699
464516.6,8000,1721.594066
564691.4,8000,1726.593905
1353712.2,8000,1733.749391
1872945.8,8000,1738.755916
1564369.8,8000,1743.740797
1620163.4,8000,1748.736732
1657983.2,8000,1753.717428
-8759.4,8000,1761.041923
3271022.6,8000,1766.033924
-15014.0,8000,1771.07596
-15999.8,8000,1776.117314
2842552.0,8000,1781.101132
-9844.4,8000,1788.372775
4399103.6,8000,1793.383188
4230872.4,8000,1798.408355
4475783.2,8000,1803.42182
4149680.8,8000,1808.431241
3200078.6,8000,1815.793875
-8339.4,8000,1820.829161
3163100.0,8000,1825.81899
-8347.6,8000,1830.858485
-11032.8,8000,1835.913383
-1868.6,8000,1843.496213
-15984.8,8000,1848.52367
4011587.8,8000,1853.520177
-10499.2,8000,1858.557291
4353241.2,8000,1863.547472
-11503.0,8000,1870.781785
-11777.2,8000,1875.814071
4347422.4,8000,1880.805947
-13107.4,8000,1885.82773
4110457.4,8000,1890.816172
4040755.4,8000,1898.019118
-7764.2,8000,1903.069358
4595641.4,8000,1908.085385
